,Tamb,Tdc_in,qdc,wdc
98,10.333333333333332,26.833333333333332,1380.0,46.272000000000006
99,10.333333333333332,26.833333333333332,1380.0,63.90800000000001
100,10.333333333333332,26.833333333333332,1380.0,81.54400000000001
101,10.333333333333332,26.833333333333332,1380.0,99.18
102,10.333333333333332,26.833333333333332,1725.0,11.0
103,10.333333333333332,26.833333333333332,1725.0,28.636000000000003
104,10.333333333333332,26.833333333333332,1725.0,46.272000000000006
105,10.333333333333332,26.833333333333332,1725.0,63.90800000000001
106,10.333333333333332,26.833333333333332,1725.0,81.54400000000001
107,10.333333333333332,26.833333333333332,1725.0,99.18
108,10.333333333333332,26.833333333333332,2070.0,11.0
109,10.333333333333332,26.833333333333332,2070.0,28.636000000000003
110,10.333333333333332,26.833333333333332,2070.0,46.272000000000006
111,10.333333333333332,26.833333333333332,2070.0,63.90800000000001
112,10.333333333333332,26.833333333333332,2070.0,81.54400000000001
113,10.333333333333332,26.833333333333332,2070.0,99.18
114,10.333333333333332,26.833333333333332,2415.0,11.0
115,10.333333333333332,26.833333333333332,2415.0,28.636000000000003
116,10.333333333333332,26.833333333333332,2415.0,46.272000000000006
117,10.333333333333332,26.833333333333332,2415.0,63.90800000000001
118,10.333333333333332,26.833333333333332,2415.0,81.54400000000001
119,10.333333333333332,26.833333333333332,2415.0,99.18
120,10.333333333333332,26.833333333333332,2760.0,11.0
121,10.333333333333332,26.833333333333332,2760.0,28.636000000000003
122,10.333333333333332,26.833333333333332,2760.0,46.272000000000006
123,10.333333333333332,26.833333333333332,2760.0,63.90800000000001
124,10.333333333333332,26.833333333333332,2760.0,81.54400000000001
125,10.333333333333332,26.833333333333332,2760.0,99.18
126,10.333333333333332,31.333333333333332,690.0,11.0
127,10.333333333333332,31.333333333333332,690.0,28.636000000000003
128,10.333333333333332,31.333333333333332,690.0,46.272000000000006
129,10.333333333333332,31.333333333333332,690.0,63.90800000000001
130,10.333333333333332,31.333333333333332,690.0,81.54400000000001
131,10.333333333333332,31.333333333333332,690.0,99.18
132,10.333333333333332,31.333333333333332,1035.0,11.0
133,10.333333333333332,31.333333333333332,1035.0,28.636000000000003
134,10.333333333333332,31.333333333333332,1035.0,46.272000000000006
135,10.333333333333332,31.333333333333332,1035.0,63.90800000000001
136,10.333333333333332,31.333333333333332,1035.0,81.54400000000001
137,10.333333333333332,31.333333333333332,1035.0,99.18
138,10.333333333333332,31.333333333333332,1380.0,11.0
139,10.333333333333332,31.333333333333332,1380.0,28.636000000000003
140,10.333333333333332,31.333333333333332,1380.0,46.272000000000006
141,10.333333333333332,31.333333333333332,1380.0,63.90800000000001
142,10.333333333333332,31.333333333333332,1380.0,81.54400000000001
143,10.333333333333332,31.333333333333332,1380.0,99.18
144,10.333333333333332,31.333333333333332,1725.0,11.0
145,10.333333333333332,31.333333333333332,1725.0,28.636000000000003
146,10.333333333333332,31.333333333333332,1725.0,46.272000000000006
147,10.333333333333332,31.333333333333332,1725.0,63.90800000000001
148,10.333333333333332,31.333333333333332,1725.0,81.54400000000001
149,10.333333333333332,31.333333333333332,1725.0,99.18
150,10.333333333333332,31.333333333333332,2070.0,11.0
151,10.333333333333332,31.333333333333332,2070.0,28.636000000000003
152,10.333333333333332,31.333333333333332,2070.0,46.272000000000006
153,10.333333333333332,31.333333333333332,2070.0,63.90800000000001
154,10.333333333333332,31.333333333333332,2070.0,81.54400000000001
155,10.333333333333332,31.333333333333332,2070.0,99.18
156,10.333333333333332,31.333333333333332,2415.0,11.0
157,10.333333333333332,31.333333333333332,2415.0,28.636000000000003
158,10.333333333333332,31.333333333333332,2415.0,46.272000000000006
159,10.333333333333332,31.333333333333332,2415.0,63.90800000000001
160,10.333333333333332,31.333333333333332,2415.0,81.54400000000001
161,10.333333333333332,31.333333333333332,2415.0,99.18
162,10.333333333333332,31.333333333333332,2760.0,11.0
163,10.333333333333332,31.333333333333332,2760.0,28.636000000000003
164,10.333333333333332,31.333333333333332,2760.0,46.272000000000006
165,10.333333333333332,31.333333333333332,2760.0,63.90800000000001
166,10.333333333333332,31.333333333333332,2760.0,81.54400000000001
167,10.333333333333332,31.333333333333332,2760.0,99.18
168,10.333333333333332,35.83333333333333,690.0,11.0
169,10.333333333333332,35.83333333333333,690.0,28.636000000000003
170,10.333333333333332,35.83333333333333,690.0,46.272000000000006
171,10.333333333333332,35.83333333333333,690.0,63.90800000000001
172,10.333333333333332,35.83333333333333,690.0,81.54400000000001
173,10.333333333333332,35.83333333333333,690.0,99.18
174,10.333333333333332,35.83333333333333,1035.0,11.0
175,10.333333333333332,35.83333333333333,1035.0,28.636000000000003
176,10.333333333333332,35.83333333333333,1035.0,46.272000000000006
177,10.333333333333332,35.83333333333333,1035.0,63.90800000000001
178,10.333333333333332,35.83333333333333,1035.0,81.54400000000001
179,10.333333333333332,35.83333333333333,1035.0,99.18
180,10.333333333333332,35.83333333333333,1380.0,11.0
181,10.333333333333332,35.83333333333333,1380.0,28.636000000000003
182,10.333333333333332,35.83333333333333,1380.0,46.272000000000006
183,10.333333333333332,35.83333333333333,1380.0,63.90800000000001
184,10.333333333333332,35.83333333333333,1380.0,81.54400000000001
185,10.333333333333332,35.83333333333333,1380.0,99.18
186,10.333333333333332,35.83333333333333,1725.0,11.0
